k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
1.7803320164301157e-05 332.62180985706505 103.71185689475486 134.80548318031916 181.46236033397903 98.13118112203922 6.424871761602486
1.821885343465165e-05 340.1494743934823 106.05898921064627 137.9660065831815 185.68165124967973 100.35199448730339 6.570273492826598
1.8644085339704853e-05 347.84748560318764 108.45923547482064 141.20886849090505 190.00722114119404 102.62289636571252 6.7189545666164445
1.907924224765265e-05 355.71969735834483 110.9137975932722 144.52054218936868 194.42588997266952 104.94513480002922 6.870996754324717
1.952455581016861e-05 363.77005068313343 113.42390467099997 147.88753816989095 198.92447772594835 107.31995797642496 7.0264818126405855
1.9980263085725506e-05 372.0025757234491 115.99081362758992 151.29640456515116 203.48980434479793 109.74861388931616 7.1854913989683595
2.0446606665791178e-05 380.42139376108486 118.61580982672419 154.733727015396 208.10868988001792 112.23235067075447 7.348107251849585
2.092383480396979e-05 389.03071927339795 121.30020771993513 158.18612796190098 212.7679543613655 114.77241636826618 7.514411122468804
2.1412201548157315e-05 397.83486203949354 124.04535150496754 161.64026534742635 217.4544177681663 117.37005911693892 7.68448463914372
2.1911966875781472e-05 406.83822929396507 126.85261579899658 165.08283078741755 222.15490005055344 120.02652699395901 7.858409610245918
2.242339683219845e-05 416.0453279276754 129.72340632268825 168.50072542395617 226.85640511513267 122.74306863758763 8.03626773104596
2.294676367231936e-05 425.4607665363847 132.65916004095862 171.90321649730373 231.56898914372894 125.52100136518425 8.218145253068759
2.3482346005542763e-05 435.0892574991475 135.66134526126035 175.3434156471424 236.34791184294644 128.36177680782848 8.404137208399865
2.4030428944069695e-05 444.93561965711416 138.7314632664723 178.87959082538117 241.2536875947306 131.26686235304993 8.594339710345961
2.4591304254680463e-05 455.0047807628835 141.87104918196 182.57007948138602 246.3468308706219 134.23772539385155 8.788848813040417
2.516527051405389e-05 465.30177993941317 145.08167273561202 186.47328414649337 251.6878564244758 137.27583321806978 8.987760558373774
2.5752633267711988e-05 475.8317701943652 148.36493903489057 190.6476601757411 257.3372791247472 140.38265324183763 9.19117106917401
2.6353705192673932e-05 486.6000209911368 151.72248936117165 195.1516956420759 263.355613657894 143.55965287014752 9.39917635504787
2.6968806263906926e-05 497.61192087785463 155.15600198191015 200.04388320224663 269.8033744233374 146.80829941699446 9.611872539466262
2.7598263924661804e-05 508.8729801756372 158.6671929808758 205.38268335611605 276.74107495254566 150.13006037247888 9.829355686485753
2.8242413260784356e-05 520.388833724173 162.25781712081059 211.2256290500409 284.2283686265705 153.52640506625906 10.051721986785072
2.8901597179095115e-05 532.1652433490385 165.92967015824684 217.54242682121495 292.236136816088 156.99901246300448 10.279081377661239
2.9576166589932566e-05 544.2081003932292 169.68459117417424 224.139964360771 300.5704728855616 160.54995024839755 10.511569218595948
3.026648059395689e-05 556.5234291794408 173.5244612764704 230.8075971597874 309.01956151008653 164.1813284495087 10.749323656859469
3.0972906673314065e-05 569.1173900765363 177.4512042690513 237.3349322232824 317.3715905389947 167.8952570267042 10.992482868362629
3.1695820887261155e-05 581.9962825666245 181.46678762437944 243.51189732573602 325.4147503852218 171.6938460016642 11.241184942642137
3.2435608072358115e-05 595.1665483811496 185.57322347827298 249.12884516640688 332.93723233644624 175.5792053719006 11.49556809377709
3.31926620473319e-05 608.6347747075091 189.77256964744598 253.97685176221202 339.7272257605249 179.55344527349865 11.755770430040714
3.3967385822722094e-05 622.407697467799 194.06693067034738 257.84844995142817 345.5729146465694 183.6186756479906 12.021930109447707
3.476019181541981e-05 636.4922046712996 198.4584588718755 260.5381786222596 350.26247257756256 187.77700659727213 12.294185249795518
3.557150206821382e-05 650.8953398348212 202.9493554191763 261.8433845669283 353.5880547203914 192.0305463043935 12.572673883534277
3.640174847446138e-05 665.6243048283492 207.54186852570865 261.8970662510065 355.6877468497764 196.38123746042538 12.85752325398762
3.7251373008002096e-05 680.6864628669434 212.2382919787567 261.43157454313246 357.30784374373746 200.8307317827765 13.148841423140192
3.812082795843888e-05 696.0893431366328 217.04097054869027 261.245425174568 359.2564204302481 205.38065165554394 13.446734704262028
3.9010576171909934e-05 711.840644644482 221.9523016373979 262.14673581736787 362.3415961463776 210.03261929548407 13.751309268168951
3.9921091297480534e-05 727.9482400387793 226.9747364502167 264.948238517478 367.37152502527533 214.78825703132844 14.06267131163066
4.0852858039285654e-05 744.420179514834 232.11078119366542 270.46079312659765 375.1543722643303 219.6491871056109 14.380927060734042
4.180637241455762e-05 761.264694808342 237.3629982995412 279.4915875187121 386.49827621247255 224.61703196650734 14.706182747315685
4.278214201767613e-05 778.4902032782385 242.73400767597138 292.84563840985965 402.2112967538714 229.69341386454244 15.03854461247388
